EmployeeNumber,Age,Attrition,Department,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,Performance_status,Age_Group,Education_Level,JobInvolvement_level,Jobsatisfaction_Level,Distance_status,YearAtCompany_status
661,43,No,Research & Development,Male,Research Director,Divorced,16627,Yes,High,35-46,Masters,Medium,Very-High,Near,Newbies
662,38,No,Research & Development,Female,Research Scientist,Single,2619,No,High,35-46,Below College,High,Low,Near,Newbies
663,43,No,Research & Development,Male,Laboratory Technician,Divorced,5679,Yes,High,35-46,Doctor,High,High,Near,2-Star
664,48,No,Research & Development,Female,Manager,Married,15402,No,High,46-55,Masters,Medium,Low,Near,1-Star
665,44,No,Human Resources,Female,Human Resources,Single,5985,No,High,35-46,Masters,Medium,High,Near,Newbies
666,34,No,Sales,Female,Sales Representative,Divorced,2579,Yes,High,26-35,Bachelor,High,High,Far,2-Star
667,27,Yes,Sales,Male,Sales Representative,Divorced,3041,No,High,26-35,Below College,High,Low,Near,1-Star
669,21,No,Sales,Male,Sales Representative,Single,3447,No,High,18-25,Below College,High,High,Very-Far,1-Star
671,44,No,Research & Development,Male,Manager,Married,19513,Yes,High,35-46,Masters,High,Very-High,Near,Newbies
675,22,No,Research & Development,Male,Research Scientist,Married,2773,No,Low,18-25,Below College,High,High,Near,Newbies
677,33,No,Sales,Male,Sales Executive,Divorced,7104,No,High,26-35,Masters,High,High,Near,1-Star
679,32,No,Research & Development,Female,Research Scientist,Married,6322,Yes,High,26-35,Masters,High,Very-High,Near,2-Star
680,30,No,Research & Development,Female,Research Scientist,Divorced,2083,No,Low,26-35,Bachelor,High,High,Near,Newbies
682,53,No,Sales,Female,Sales Executive,Single,8381,No,Low,46-55,Below College,High,Low,Near,3-Star
683,34,No,Research & Development,Male,Research Scientist,Married,2691,No,High,26-35,Doctor,High,Very-High,Near,2-Star
684,45,Yes,Sales,Female,Sales Executive,Married,4286,No,High,35-46,Masters,High,Low,Very-Far,Newbies
686,26,No,Research & Development,Female,Laboratory Technician,Married,2659,Yes,High,26-35,Bachelor,High,Very-High,Near,1-Star
689,37,No,Research & Development,Male,Manufacturing Director,Married,9434,No,High,35-46,Bachelor,High,High,Near,2-Star
690,29,No,Sales,Female,Sales Executive,Married,5561,No,High,26-35,College,High,High,Near,2-Star
691,35,No,Research & Development,Male,Research Scientist,Single,6646,No,High,26-35,Masters,Low,Very-High,Near,4-Star
692,33,No,Research & Development,Male,Healthcare Representative,Divorced,7725,No,Low,26-35,Bachelor,High,Very-High,Near,3-Star
698,54,No,Human Resources,Male,Human Resources,Married,10725,No,High,46-55,Masters,High,Medium,Far,2-Star
699,36,No,Research & Development,Male,Manufacturing Director,Divorced,8847,Yes,High,35-46,College,Medium,Medium,Near,1-Star
700,27,No,Research & Development,Male,Research Scientist,Single,2045,No,High,26-35,Masters,Medium,Very-High,Near,1-Star
701,20,Yes,Research & Development,Male,Research Scientist,Single,1009,Yes,High,18-25,Below College,High,High,Near,Newbies
702,33,Yes,Research & Development,Male,Research Scientist,Single,3348,Yes,High,26-35,Bachelor,High,Low,Near,2-Star
704,35,No,Research & Development,Male,Laboratory Technician,Married,1281,No,High,26-35,Bachelor,Medium,High,Near,Newbies
705,23,No,Research & Development,Male,Research Scientist,Married,2819,No,High,18-25,Bachelor,Very-High,Low,Near,1-Star
707,25,No,Sales,Male,Sales Executive,Married,4851,No,Low,18-25,Bachelor,Very-High,Medium,Near,1-Star
709,38,No,Sales,Female,Sales Executive,Single,4028,No,Low,35-46,Masters,Medium,Very-High,Near,2-Star
710,29,No,Research & Development,Male,Research Scientist,Divorced,2720,No,High,26-35,Masters,Low,Very-High,Near,2-Star
712,48,No,Sales,Male,Sales Executive,Married,8120,No,High,46-55,Below College,Very-High,Medium,Near,Newbies
714,27,No,Sales,Female,Sales Executive,Divorced,4647,Yes,Low,26-35,Below College,Very-High,Very-High,Near,2-Star
715,37,No,Research & Development,Male,Research Scientist,Single,4680,No,High,35-46,College,Very-High,Very-High,Near,Newbies
716,50,No,Research & Development,Male,Laboratory Technician,Married,3221,Yes,High,46-55,Below College,Very-High,High,Very-Far,4-Star
717,34,No,Research & Development,Female,Healthcare Representative,Single,8621,No,High,26-35,Bachelor,Medium,Medium,Near,2-Star
720,24,Yes,Sales,Female,Sales Executive,Single,4577,No,High,18-25,College,High,High,Near,Newbies
721,39,No,Research & Development,Female,Healthcare Representative,Single,4553,No,High,35-46,Masters,Medium,High,Near,4-Star
722,32,No,Sales,Male,Sales Executive,Single,5396,No,High,26-35,Bachelor,High,Very-High,Near,2-Star
723,50,Yes,Sales,Male,Sales Executive,Married,6796,Yes,High,46-55,College,High,High,Near,1-Star
724,38,No,Research & Development,Female,Healthcare Representative,Single,7625,No,High,35-46,Masters,Very-High,Very-High,Near,2-Star
725,27,No,Research & Development,Female,Manufacturing Director,Married,7412,No,High,26-35,College,High,Low,Near,2-Star
727,32,No,Research & Development,Female,Research Director,Single,11159,No,High,26-35,College,High,Very-High,Near,2-Star
728,47,No,Sales,Male,Sales Executive,Single,4960,No,High,46-55,Masters,High,Low,Far,2-Star
729,40,No,Sales,Male,Sales Executive,Married,10475,Yes,Low,35-46,Masters,Medium,Low,Near,4-Star
730,53,No,Research & Development,Male,Research Director,Married,14814,No,High,46-55,Bachelor,Very-High,High,Near,1-Star
731,41,No,Human Resources,Male,Manager,Divorced,19141,No,High,35-46,Masters,Medium,Very-High,Near,5-Star
732,60,No,Sales,Male,Sales Executive,Single,5405,No,High,56?,Masters,High,Low,Far,Newbies
733,27,No,Research & Development,Male,Manufacturing Director,Divorced,8793,No,Low,26-35,College,High,Low,Near,2-Star
734,41,No,Human Resources,Male,Manager,Married,19189,No,High,35-46,Bachelor,Medium,High,Near,5-Star
738,50,No,Sales,Male,Sales Representative,Married,3875,No,High,46-55,Masters,High,Medium,Near,Newbies
741,28,Yes,Research & Development,Female,Research Scientist,Single,2216,Yes,High,26-35,College,Low,Medium,Near,2-Star
742,36,No,Research & Development,Female,Research Director,Married,11713,No,High,35-46,Bachelor,Very-High,Low,Near,2-Star
743,38,No,Research & Development,Female,Manufacturing Director,Single,7861,Yes,High,35-46,Bachelor,High,High,Near,Newbies
744,44,No,Research & Development,Male,Laboratory Technician,Single,3708,No,High,35-46,Bachelor,Low,High,Very-Far,1-Star
746,47,No,Sales,Female,Sales Executive,Divorced,13770,Yes,High,46-55,Bachelor,High,High,Near,5-Star
747,30,No,Sales,Male,Sales Executive,Divorced,5304,No,Low,26-35,Doctor,High,Very-High,Very-Far,2-Star
749,29,No,Sales,Male,Sales Representative,Single,2642,No,High,26-35,Bachelor,High,High,Near,Newbies
752,42,Yes,Research & Development,Male,Research Scientist,Divorced,2759,Yes,High,35-46,Bachelor,Very-High,High,Far,Newbies
754,43,No,Sales,Male,Sales Executive,Married,6804,No,High,35-46,Bachelor,Medium,Very-High,Far,Newbies
757,34,No,Research & Development,Female,Healthcare Representative,Single,6142,No,High,26-35,College,High,High,Near,1-Star
758,23,No,Research & Development,Male,Laboratory Technician,Married,2500,No,High,18-25,Below College,High,Low,Near,1-Star
760,39,No,Human Resources,Female,Human Resources,Married,6389,No,High,35-46,Bachelor,Very-High,Medium,Near,2-Star
762,56,No,Research & Development,Male,Healthcare Representative,Married,11103,No,High,56?,Bachelor,High,Very-High,Near,2-Star
763,40,No,Research & Development,Female,Research Scientist,Single,2342,Yes,Low,35-46,Below College,Medium,Very-High,Near,1-Star
764,27,No,Research & Development,Female,Healthcare Representative,Single,6811,No,High,26-35,Bachelor,Medium,Low,Near,2-Star
766,29,No,Sales,Male,Sales Representative,Divorced,2297,No,High,26-35,Bachelor,High,Medium,Near,Newbies
769,53,No,Research & Development,Male,Laboratory Technician,Single,2450,No,High,46-55,Bachelor,High,Very-High,Near,Newbies
771,35,No,Research & Development,Female,Healthcare Representative,Divorced,5093,No,High,26-35,Masters,High,Low,Near,Newbies
772,32,No,Research & Development,Male,Laboratory Technician,Married,5309,No,High,26-35,Masters,High,Very-High,Very-Far,2-Star
773,38,No,Research & Development,Male,Research Scientist,Married,3057,Yes,High,35-46,Doctor,High,High,Near,Newbies
775,34,No,Research & Development,Female,Manufacturing Director,Divorced,5121,No,High,26-35,Doctor,High,Low,Near,Newbies
776,52,No,Sales,Male,Manager,Married,16856,No,High,46-55,Masters,Medium,Low,Near,Elders
780,33,Yes,Research & Development,Male,Research Scientist,Single,2686,Yes,High,26-35,Masters,High,Very-High,Near,2-Star
781,25,No,Sales,Female,Sales Executive,Single,6180,No,Low,18-25,Below College,High,Very-High,Very-Far,2-Star
783,45,No,Sales,Male,Sales Representative,Single,6632,No,High,35-46,College,Low,High,Near,2-Star
784,23,No,Research & Development,Male,Research Scientist,Single,3505,No,High,18-25,Below College,Very-High,High,Near,Newbies
785,47,Yes,Sales,Female,Sales Executive,Single,6397,Yes,High,46-55,College,Very-High,High,Very-Far,1-Star
786,34,No,Sales,Male,Sales Executive,Single,6274,No,Low,26-35,Bachelor,High,Very-High,Near,2-Star
787,55,Yes,Research & Development,Male,Manager,Married,19859,Yes,High,46-55,Bachelor,High,Low,Near,1-Star
789,36,No,Sales,Male,Sales Executive,Single,7587,No,High,35-46,Masters,Medium,Low,Near,2-Star
791,52,No,Research & Development,Male,Research Scientist,Married,4258,No,High,46-55,Masters,High,Very-High,Far,1-Star
792,26,No,Research & Development,Female,Laboratory Technician,Divorced,4364,No,High,26-35,College,Low,Very-High,Near,Newbies
793,29,No,Research & Development,Female,Healthcare Representative,Married,4335,No,High,26-35,Bachelor,High,High,Very-Far,2-Star
796,26,Yes,Sales,Male,Sales Executive,Single,5326,No,High,26-35,Bachelor,Medium,Low,Near,1-Star
797,34,No,Research & Development,Female,Research Scientist,Single,3280,No,High,26-35,Masters,Very-High,Very-High,Near,1-Star
799,54,No,Research & Development,Female,Manufacturing Director,Divorced,5485,Yes,High,46-55,Masters,High,Low,Far,1-Star
800,27,No,Sales,Male,Sales Executive,Married,4342,No,High,26-35,Below College,High,Very-High,Near,1-Star
802,37,No,Research & Development,Female,Research Scientist,Divorced,2782,Yes,High,35-46,Below College,High,Low,Near,1-Star
803,38,No,Research & Development,Female,Manufacturing Director,Single,5980,Yes,High,35-46,Masters,Very-High,Low,Near,3-Star
804,34,No,Research & Development,Female,Research Scientist,Single,4381,No,High,26-35,Masters,Medium,Low,Near,2-Star
805,35,No,Sales,Female,Sales Representative,Married,2572,No,High,26-35,Masters,High,Very-High,Near,1-Star
806,30,No,Research & Development,Male,Laboratory Technician,Married,3833,No,Low,26-35,Bachelor,Low,High,Near,Newbies
807,40,No,Research & Development,Female,Healthcare Representative,Married,4244,No,Low,35-46,College,Very-High,Medium,Near,2-Star
808,34,No,Sales,Female,Sales Executive,Married,6500,No,High,26-35,College,High,Low,Near,1-Star
809,42,No,Research & Development,Male,Manager,Divorced,18430,No,High,35-46,Bachelor,High,Very-High,Near,5-Star
811,23,Yes,Research & Development,Male,Laboratory Technician,Married,1601,Yes,Low,18-25,Bachelor,Very-High,Low,Near,Newbies
812,24,No,Research & Development,Male,Laboratory Technician,Divorced,2694,No,High,18-25,Bachelor,Medium,Medium,Near,Newbies
813,52,No,Research & Development,Female,Laboratory Technician,Married,3149,No,Low,46-55,Masters,High,High,Far,1-Star
815,50,No,Research & Development,Male,Research Director,Married,17639,No,High,46-55,Bachelor,High,High,Near,1-Star
816,29,Yes,Research & Development,Female,Laboratory Technician,Married,2319,Yes,High,26-35,College,Medium,Low,Near,Newbies
817,33,No,Research & Development,Male,Research Director,Married,11691,No,High,26-35,Bachelor,High,High,Near,3-Star
819,33,Yes,Sales,Female,Sales Executive,Single,5324,No,High,26-35,Bachelor,High,Low,Far,1-Star
820,47,No,Research & Development,Female,Manager,Married,16752,Yes,High,46-55,College,High,Very-High,Near,Elders
823,36,No,Research & Development,Female,Manufacturing Director,Married,5228,No,High,35-46,Bachelor,High,Medium,Near,2-Star
824,29,No,Research & Development,Male,Research Scientist,Married,2700,No,Low,26-35,College,Very-High,High,Very-Far,2-Star
825,58,Yes,Research & Development,Male,Research Director,Single,19246,Yes,High,56?,Masters,High,Medium,Near,Elders
826,35,No,Research & Development,Female,Research Scientist,Single,2506,No,High,26-35,Masters,Very-High,High,Near,Newbies
827,42,No,Research & Development,Female,Manufacturing Director,Married,6062,Yes,High,35-46,College,Medium,Very-High,Near,1-Star
828,28,Yes,Research & Development,Male,Research Scientist,Single,4382,No,High,26-35,Masters,High,High,Near,Newbies
829,36,No,Human Resources,Male,Human Resources,Married,2143,No,High,35-46,Bachelor,High,Medium,Far,1-Star
830,32,No,Research & Development,Female,Manufacturing Director,Married,6162,No,High,26-35,Bachelor,Medium,High,Near,3-Star
832,40,No,Research & Development,Male,Laboratory Technician,Single,5094,No,High,35-46,Masters,Medium,High,Far,Newbies
833,30,No,Research & Development,Female,Manufacturing Director,Single,6877,Yes,Low,26-35,Bachelor,Medium,Very-High,Near,Newbies
834,45,No,Research & Development,Female,Research Scientist,Single,2274,No,High,35-46,Bachelor,Medium,High,Near,Newbies
836,42,No,Research & Development,Male,Manufacturing Director,Married,4434,No,High,35-46,Bachelor,High,Medium,Very-Far,2-Star
837,38,No,Research & Development,Male,Healthcare Representative,Divorced,6288,No,High,35-46,Bachelor,Medium,Low,Far,1-Star
838,34,No,Research & Development,Female,Research Scientist,Single,2553,No,High,26-35,Masters,Medium,Very-High,Far,1-Star
840,49,Yes,Sales,Female,Sales Executive,Married,7654,No,High,46-55,Bachelor,High,Very-High,Far,2-Star
842,55,Yes,Sales,Male,Sales Executive,Single,5160,No,High,46-55,Below College,High,Very-High,Near,2-Star
843,43,No,Research & Development,Male,Research Director,Married,17159,No,Low,35-46,College,High,Low,Far,1-Star
844,27,No,Research & Development,Male,Research Director,Divorced,12808,Yes,High,26-35,Below College,Medium,Very-High,Near,2-Star
845,35,No,Research & Development,Male,Manufacturing Director,Single,10221,No,Low,26-35,Bachelor,High,High,Near,2-Star
846,28,No,Sales,Female,Sales Executive,Married,4779,Yes,Low,26-35,Masters,High,Medium,Near,2-Star
847,34,No,Human Resources,Male,Human Resources,Married,3737,No,High,26-35,College,High,Very-High,Near,1-Star
848,26,Yes,Research & Development,Female,Research Scientist,Married,2366,Yes,High,26-35,College,Medium,High,Near,2-Star
850,27,No,Research & Development,Male,Research Scientist,Married,1706,No,High,26-35,Bachelor,High,Very-High,Near,Newbies
851,51,No,Sales,Female,Manager,Married,16307,No,High,46-55,Masters,High,High,Very-Far,4-Star
852,44,No,Research & Development,Male,Healthcare Representative,Single,5933,No,High,35-46,Bachelor,High,Medium,Near,1-Star
854,25,No,Research & Development,Male,Research Scientist,Single,3424,No,High,18-25,Below College,Very-High,Low,Near,1-Star
855,33,No,Sales,Male,Sales Executive,Divorced,4037,No,Low,26-35,Bachelor,Very-High,Low,Near,2-Star
856,35,No,Research & Development,Female,Research Scientist,Single,2559,No,High,26-35,Below College,Medium,Low,Very-Far,2-Star
857,36,No,Sales,Male,Sales Executive,Married,6201,Yes,High,35-46,College,High,Very-High,Near,4-Star
859,32,No,Sales,Male,Sales Executive,Divorced,4403,No,High,26-35,Masters,High,Very-High,Far,1-Star
861,30,No,Research & Development,Male,Research Scientist,Divorced,3761,No,High,26-35,Masters,Medium,Very-High,Near,1-Star
862,53,No,Sales,Female,Sales Executive,Married,10934,Yes,High,46-55,College,Medium,Very-High,Near,1-Star
864,45,No,Sales,Male,Sales Executive,Divorced,10761,Yes,High,35-46,Bachelor,High,Low,Near,1-Star
865,32,No,Research & Development,Female,Research Scientist,Married,5175,No,High,26-35,College,Very-High,High,Near,1-Star
867,52,No,Research & Development,Female,Manufacturing Director,Married,13826,No,Low,46-55,Masters,Medium,Very-High,Very-Far,2-Star
868,37,No,Sales,Male,Sales Executive,Divorced,6334,No,High,35-46,Masters,Medium,High,Far,Newbies
869,28,No,Human Resources,Male,Human Resources,Divorced,4936,No,High,26-35,College,Medium,Very-High,Near,1-Star
872,22,No,Research & Development,Male,Manufacturing Director,Married,4775,No,Low,18-25,College,Medium,Very-High,Near,Newbies
874,44,No,Research & Development,Male,Laboratory Technician,Married,2818,Yes,Low,35-46,Masters,Very-High,Very-High,Near,1-Star
875,42,No,Research & Development,Male,Research Scientist,Single,2515,Yes,High,35-46,Below College,High,Very-High,Near,Newbies
878,36,No,Human Resources,Male,Human Resources,Married,2342,No,Low,35-46,Bachelor,Medium,Low,Near,1-Star
879,25,No,Sales,Male,Sales Executive,Married,4194,Yes,High,18-25,Below College,High,Low,Near,1-Star
880,35,No,Research & Development,Female,Manufacturing Director,Married,10685,Yes,Low,26-35,Bachelor,Medium,High,Near,4-Star
881,35,Yes,Research & Development,Female,Research Scientist,Divorced,2022,Yes,High,26-35,Masters,High,Medium,Very-Far,2-Star
882,32,No,Research & Development,Male,Laboratory Technician,Divorced,2314,No,High,26-35,Bachelor,High,Very-High,Near,1-Star
885,25,No,Sales,Male,Sales Executive,Married,4256,No,High,18-25,Below College,Medium,Low,Near,1-Star
887,49,No,Research & Development,Female,Research Scientist,Married,3580,No,High,46-55,Bachelor,High,Low,Near,1-Star
888,24,No,Research & Development,Male,Laboratory Technician,Married,3162,No,High,18-25,Below College,Medium,Very-High,Near,1-Star
889,32,No,Sales,Male,Sales Executive,Married,6524,No,High,26-35,College,High,Medium,Near,2-Star
893,38,No,Sales,Male,Sales Representative,Married,2899,No,High,35-46,Bachelor,Medium,Medium,Near,Newbies
894,42,No,Research & Development,Female,Laboratory Technician,Married,5231,Yes,High,35-46,Bachelor,Very-High,Very-High,Near,1-Star
895,31,No,Research & Development,Male,Research Scientist,Married,2356,Yes,High,26-35,Masters,High,Very-High,Far,2-Star
896,29,Yes,Sales,Female,Sales Representative,Divorced,2800,Yes,High,26-35,Bachelor,Medium,High,Near,1-Star
897,53,No,Sales,Male,Sales Executive,Married,11836,No,High,46-55,Bachelor,High,Very-High,Near,Newbies
899,35,No,Research & Development,Male,Manufacturing Director,Married,10903,No,High,26-35,Bachelor,Medium,Medium,Very-Far,3-Star
900,37,No,Sales,Female,Sales Representative,Married,2973,No,High,35-46,College,High,Very-High,Very-Far,1-Star
901,53,No,Research & Development,Female,Research Director,Single,14275,No,High,46-55,Masters,High,Very-High,Very-Far,3-Star
902,43,No,Research & Development,Female,Healthcare Representative,Married,5562,No,High,35-46,Bachelor,High,Very-High,Near,1-Star
903,47,No,Sales,Female,Sales Executive,Married,4537,Yes,Low,46-55,College,High,Very-High,Near,2-Star
904,37,No,Sales,Male,Sales Executive,Single,7642,Yes,High,35-46,College,High,Medium,Far,2-Star
905,50,No,Research & Development,Male,Manager,Divorced,17924,No,High,46-55,Masters,High,Low,Near,Elders
909,39,No,Human Resources,Female,Human Resources,Married,5204,No,High,35-46,Bachelor,Medium,Very-High,Near,1-Star
910,33,No,Human Resources,Male,Human Resources,Divorced,2277,Yes,High,26-35,College,High,Medium,Near,1-Star
911,32,Yes,Research & Development,Male,Laboratory Technician,Single,2795,Yes,Low,26-35,Masters,High,Very-High,Very-Far,Newbies
912,29,No,Research & Development,Female,Laboratory Technician,Divorced,2532,No,High,26-35,Below College,Medium,Very-High,Near,1-Star
913,44,No,Research & Development,Male,Research Scientist,Married,2559,Yes,High,35-46,College,High,Low,Near,2-Star
916,28,No,Sales,Male,Sales Executive,Single,4908,No,High,26-35,Masters,High,Very-High,Near,1-Star
918,58,Yes,Research & Development,Male,Laboratory Technician,Divorced,2380,Yes,High,56?,Below College,Medium,Very-High,Near,Newbies
920,43,No,Research & Development,Female,Manufacturing Director,Divorced,4765,No,Low,35-46,Bachelor,High,Medium,Near,Newbies
922,20,Yes,Sales,Female,Sales Representative,Single,2044,No,High,18-25,Bachelor,Medium,High,Near,Newbies
923,21,Yes,Research & Development,Female,Research Scientist,Single,2693,No,High,18-25,Below College,High,Very-High,Far,Newbies
924,36,No,Research & Development,Male,Healthcare Representative,Married,6586,Yes,High,35-46,Below College,High,Very-High,Far,4-Star
925,47,No,Sales,Female,Sales Representative,Single,3294,Yes,High,46-55,Masters,Medium,Very-High,Near,1-Star
926,22,Yes,Research & Development,Female,Manufacturing Director,Married,4171,Yes,High,18-25,Below College,High,High,Near,1-Star
927,41,Yes,Research & Development,Female,Laboratory Technician,Divorced,2778,Yes,High,35-46,Masters,Low,Very-High,Near,2-Star
930,28,No,Research & Development,Female,Research Scientist,Divorced,2377,No,High,26-35,Bachelor,High,High,Near,Newbies
932,39,Yes,Research & Development,Male,Laboratory Technician,Married,2404,Yes,Low,35-46,Bachelor,High,Low,Near,Newbies
933,27,No,Research & Development,Female,Research Scientist,Single,2318,No,High,26-35,Bachelor,High,High,Near,Newbies
934,34,No,Research & Development,Male,Laboratory Technician,Divorced,2008,No,High,26-35,Bachelor,High,Medium,Near,Newbies
936,42,No,Sales,Female,Sales Executive,Single,6244,No,High,35-46,College,Medium,High,Far,1-Star
939,33,No,Research & Development,Male,Research Scientist,Single,2799,Yes,High,26-35,Masters,Medium,Low,Near,1-Star
940,58,No,Research & Development,Female,Healthcare Representative,Divorced,10552,Yes,High,56?,Bachelor,Medium,Medium,Near,2-Star
941,31,No,Sales,Male,Sales Representative,Married,2329,No,High,26-35,Masters,Medium,High,Near,2-Star
942,35,No,Research & Development,Female,Healthcare Representative,Married,4014,Yes,Low,26-35,Below College,High,Very-High,Very-Far,2-Star
944,49,No,Research & Development,Female,Laboratory Technician,Married,7403,No,High,46-55,College,High,Medium,Near,Elders
945,48,No,Research & Development,Male,Research Scientist,Married,2259,No,High,46-55,Masters,High,High,Far,Newbies
947,31,No,Sales,Female,Sales Executive,Married,6932,No,High,26-35,College,High,High,Far,2-Star
949,36,No,Research & Development,Male,Research Scientist,Single,4678,No,High,35-46,Masters,High,Very-High,Near,2-Star
950,38,No,Research & Development,Female,Research Director,Married,13582,No,High,35-46,Bachelor,High,Low,Near,3-Star
951,32,No,Research & Development,Female,Laboratory Technician,Married,2332,No,Low,26-35,Bachelor,Medium,Medium,Near,1-Star
952,25,Yes,Sales,Male,Sales Representative,Married,2413,Yes,High,18-25,College,Medium,Medium,Far,Newbies
954,40,No,Sales,Male,Sales Executive,Divorced,9705,No,High,35-46,Masters,Medium,Medium,Near,Newbies
956,26,No,Sales,Male,Sales Executive,Single,4294,No,High,26-35,Bachelor,Medium,Low,Near,2-Star
957,41,No,Research & Development,Male,Laboratory Technician,Single,4721,Yes,High,35-46,Bachelor,High,Low,Near,4-Star
958,36,No,Research & Development,Male,Laboratory Technician,Single,2519,No,Low,35-46,Masters,High,High,Near,3-Star
959,19,Yes,Sales,Male,Sales Representative,Single,2121,Yes,High,18-25,Bachelor,Medium,Medium,Very-Far,Newbies
960,20,Yes,Research & Development,Male,Laboratory Technician,Single,2973,No,High,18-25,Bachelor,High,Low,Near,Newbies
961,31,No,Research & Development,Female,Healthcare Representative,Married,5855,Yes,High,26-35,Bachelor,High,Very-High,Far,2-Star
964,40,No,Research & Development,Male,Research Scientist,Divorced,3617,Yes,High,35-46,Masters,High,Medium,Near,Newbies
966,32,No,Research & Development,Female,Manufacturing Director,Married,6725,No,High,26-35,Masters,High,Low,Near,2-Star
967,36,Yes,Sales,Male,Sales Executive,Married,10325,Yes,High,35-46,Below College,Medium,Very-High,Near,4-Star
969,33,No,Research & Development,Female,Healthcare Representative,Single,6949,No,High,26-35,Bachelor,Medium,Very-High,Near,1-Star
970,37,Yes,Sales,Male,Sales Executive,Married,10609,No,High,35-46,Masters,Medium,High,Near,3-Star
972,45,No,Research & Development,Male,Laboratory Technician,Married,4447,No,High,35-46,College,High,Medium,Near,2-Star
974,29,No,Sales,Female,Sales Representative,Married,2157,No,High,26-35,Bachelor,High,Very-High,Far,1-Star
975,35,No,Sales,Female,Sales Executive,Married,4601,No,High,26-35,Bachelor,High,High,Far,1-Star
976,52,No,Research & Development,Male,Manager,Married,17099,No,High,46-55,College,High,Very-High,Near,2-Star
977,58,Yes,Research & Development,Male,Research Scientist,Single,2479,No,Low,56?,Bachelor,High,High,Near,Newbies
981,53,No,Sales,Male,Manager,Divorced,14852,No,High,46-55,College,High,High,Near,4-Star
982,30,No,Sales,Male,Sales Executive,Divorced,7264,No,High,26-35,College,High,High,Near,2-Star
983,38,No,Sales,Female,Sales Executive,Single,5666,Yes,High,35-46,Bachelor,High,Very-High,Near,1-Star
984,35,No,Sales,Male,Sales Executive,Divorced,7823,No,High,26-35,Masters,High,Very-High,Near,2-Star
985,39,No,Sales,Male,Sales Executive,Single,7880,No,High,35-46,Doctor,Very-High,High,Near,2-Star
986,40,Yes,Sales,Female,Sales Executive,Single,13194,Yes,High,35-46,Bachelor,Very-High,Medium,Very-Far,Newbies
987,47,No,Research & Development,Male,Manufacturing Director,Divorced,5067,Yes,High,46-55,Masters,Very-High,High,Far,4-Star
990,36,No,Sales,Male,Sales Executive,Divorced,5079,No,High,35-46,Masters,High,Very-High,Near,2-Star
991,31,Yes,Research & Development,Male,Research Scientist,Single,2321,Yes,Low,26-35,College,Medium,Low,Near,1-Star
992,33,No,Sales,Male,Manager,Single,17444,No,High,26-35,Bachelor,High,High,Far,2-Star
994,29,Yes,Research & Development,Female,Research Scientist,Single,2404,Yes,Low,26-35,Bachelor,Medium,Low,Near,Newbies
995,33,No,Research & Development,Female,Research Scientist,Single,3452,No,High,26-35,Below College,High,Very-High,Far,1-Star
996,45,No,Research & Development,Female,Laboratory Technician,Divorced,2270,No,High,35-46,Masters,High,Very-High,Near,1-Star
997,50,No,Research & Development,Male,Research Director,Divorced,17399,No,Low,46-55,College,High,Very-High,Near,1-Star
998,33,No,Research & Development,Female,Healthcare Representative,Married,5488,Yes,High,26-35,Masters,Very-High,Medium,Near,2-Star
999,41,No,Research & Development,Male,Research Director,Divorced,19419,No,High,35-46,Bachelor,High,High,Near,4-Star
1001,27,No,Research & Development,Female,Laboratory Technician,Married,2811,No,High,26-35,Masters,High,Medium,Far,Newbies
1002,45,No,Research & Development,Male,Laboratory Technician,Married,3633,Yes,High,35-46,College,High,Low,Very-Far,2-Star
1003,47,No,Sales,Female,Sales Executive,Single,4163,Yes,High,46-55,College,High,Very-High,Near,2-Star
1004,30,Yes,Research & Development,Female,Research Scientist,Married,2132,Yes,High,26-35,Bachelor,High,High,Very-Far,1-Star
1005,50,No,Research & Development,Male,Manufacturing Director,Married,13973,Yes,High,46-55,Bachelor,High,High,Very-Far,3-Star
1006,38,No,Research & Development,Male,Research Scientist,Married,2684,No,High,35-46,Below College,High,High,Near,Newbies
1007,46,No,Research & Development,Male,Manufacturing Director,Divorced,10845,No,High,46-55,College,High,High,Near,2-Star
1009,24,No,Research & Development,Female,Manufacturing Director,Divorced,4377,No,High,18-25,Below College,Medium,High,Far,1-Star
1010,35,Yes,Research & Development,Male,Laboratory Technician,Divorced,3743,Yes,Low,26-35,Masters,Medium,Medium,Far,1-Star
1011,31,No,Research & Development,Female,Manufacturing Director,Married,4148,No,High,26-35,Below College,High,Low,Near,1-Star
1012,18,No,Research & Development,Male,Research Scientist,Single,1051,No,High,18-25,College,High,Very-High,Near,Newbies
1013,54,No,Research & Development,Female,Manufacturing Director,Married,10739,No,High,46-55,Bachelor,High,High,Far,2-Star
1014,35,No,Research & Development,Female,Healthcare Representative,Divorced,10388,Yes,High,26-35,Masters,High,High,Very-Far,4-Star
1015,30,No,Research & Development,Female,Research Director,Married,11416,Yes,High,26-35,College,Very-High,Low,Near,2-Star
1016,20,Yes,Research & Development,Female,Research Scientist,Single,2600,Yes,High,18-25,Bachelor,Medium,Low,Far,Newbies
1017,30,Yes,Research & Development,Female,Laboratory Technician,Single,2422,No,High,26-35,Bachelor,High,Medium,Near,1-Star
1018,26,No,Research & Development,Male,Manufacturing Director,Married,5472,No,High,26-35,College,Very-High,Very-High,Near,2-Star
